Date,Description,Amount,Balance
2/11/2021 06:48AM,AD - Bluemart02,-34.65,276.25
2/10/2021 11:59AM,AD - Bluemart03 - Charge,-15.45,310.90
2/10/2021 10:35AM,AD - CampuseastWS04 - Charge,-5.75,326.35
2/09/2021 09:52AM,AD - Bluemart03 - Charge,-7.50,332.10
2/09/2021 09:52AM,AD - Bluemart03 - Charge,-56.01,339.60
2/09/2021 03:58AM,ITS212-WAP-V - Payment,346.00,395.61
2/08/2021 03:21AM,AD - CampuswestWS03 - Charge,-1.25,49.61
2/08/2021 12:51AM,AD - Bluemart02 - Charge,-53.15,50.86
2/05/2021 12:18AM,AD - CampuswestWS03 - Charge,-3.25,104.01
2/04/2021 04:40AM,AD - Bluemart03 - Charge,-61.99,107.26
2/03/2021 09:14AM,AD - CampuswestWS03 - Charge,-1.75,169.25
2/02/2021 09:34AM,AD - Bluemart02 - Charge,-66.00,171.00
2/02/2021 09:24AM,AD - CampuswestWS03 - Charge,-7.50,237.00
2/02/2021 04:09AM,AD - CampuswestWS03 - Charge,-7.50,244.50
2/01/2021 11:08AM,AD - CampuswestWS03 - Charge,-7.50,252.00
2/01/2021 10:30AM,AD - SushiCounter02 - Charge,-55.00,259.50
2/01/2021 02:55AM,AD - CampuswestWS03 - Charge,-9.00,314.50
1/31/2021 10:50AM,AD - Bluemart03 - Charge,-12.50,323.50
1/31/2021 10:43AM,AD - CampuswestWS03 - Charge,-2.50,336.00
1/31/2021 03:28AM,AD - Bluemart02 - Charge,-7.50,338.50
1/30/2021 01:18PM,ITS211-WAP-V - Payment,346.00,346.00
1/26/2021 10:32AM,AD - CampuswestWS03 - Charge,-10.85,0.00
1/25/2021 11:18PM,AD - Bluemart02 - Charge,-28.68,10.85
1/24/2021 03:14AM,AD - Bluemart03 - Charge,-39.50,39.53
1/23/2021 08:36AM,AD - Blacksmith01 - Charge,-10.00,79.03
1/22/2021 12:46PM,AD - NYPizza02 - Charge,-26.00,89.03
1/22/2021 03:31AM,AD - Bluemart02 - Charge,-121.02,115.03
1/21/2021 09:04AM,AD - CampuseastWS04 - Charge,-14.50,236.05
1/21/2021 12:25AM,AD - CampuswestWS03 - Charge,-0.50,250.55
1/19/2021 05:23AM,AD - CampuseastWS04 - Charge,-3.25,251.05
1/18/2021 11:45AM,AD - CampuswestWS03 - Charge,-3.75,254.30
1/18/2021 12:42AM,AD - Bluemart02 - Charge,-28.50,258.05
1/18/2021 12:40AM,AD - Bluemart02 - Charge,-1.31,286.55
1/17/2021 05:57AM,AD - Bluemart03 - Charge,-59.04,287.86
1/16/2021 02:23PM,ITS211-WAP-V - Payment,346.00,346.90
1/14/2021 11:12AM,AD - CampuswestWS03 - Charge,-3.50,0.90
1/14/2021 03:22AM,AD - CampuseastWS04 - Charge,-1.75,4.40
1/13/2021 09:58AM,AD - Bluemart03 - Charge,-37.51,6.15
1/12/2021 10:02AM,AD - Bluemart03 - Charge,-86.01,43.66
1/10/2021 07:12AM,AD - Bluemart02 - Charge,-25.52,129.67
1/10/2021 07:01AM,AD - MarketplaceWS02 - Charge,-21.00,155.19
